open,high,low,close,time
69080.00000000,69769.30000000,69075.40000000,69746.23000000,2024-06-03T17:00:00
69746.23000000,70288.00000000,69521.04000000,69795.34000000,2024-06-03T18:00:00
69795.33000000,70079.67000000,68500.00000000,68776.01000000,2024-06-03T19:00:00
68776.01000000,69631.16000000,68760.00000000,69615.28000000,2024-06-03T20:00:00
69615.27000000,69715.61000000,68899.89000000,69080.02000000,2024-06-03T21:00:00
69080.02000000,69389.92000000,68800.00000000,69268.97000000,2024-06-03T22:00:00
69268.98000000,69444.49000000,69162.98000000,69288.41000000,2024-06-03T23:00:00
69288.41000000,69296.68000000,69021.77000000,69204.00000000,2024-06-04T00:00:00
69204.00000000,69509.38000000,69101.27000000,69101.28000000,2024-06-04T01:00:00
69101.28000000,69191.86000000,68899.51000000,69081.17000000,2024-06-04T02:00:00
69081.17000000,69144.33000000,68810.00000000,69042.51000000,2024-06-04T03:00:00
69042.51000000,69062.19000000,68730.51000000,68809.90000000,2024-06-04T04:00:00
68809.89000000,69090.90000000,68629.90000000,69001.41000000,2024-06-04T05:00:00
69001.40000000,69215.41000000,68900.60000000,69215.40000000,2024-06-04T06:00:00
69215.41000000,69306.67000000,69080.80000000,69139.57000000,2024-06-04T07:00:00
69139.58000000,69370.01000000,69114.98000000,69170.22000000,2024-06-04T08:00:00
69170.22000000,69268.27000000,69057.12000000,69061.22000000,2024-06-04T09:00:00
69061.22000000,69156.16000000,68914.28000000,68956.01000000,2024-06-04T10:00:00
68956.01000000,69039.71000000,68745.68000000,68905.43000000,2024-06-04T11:00:00
68905.43000000,69074.82000000,68894.21000000,69013.63000000,2024-06-04T12:00:00
69013.62000000,69191.99000000,68827.00000000,68836.54000000,2024-06-04T13:00:00
68836.54000000,68890.01000000,68567.32000000,68717.92000000,2024-06-04T14:00:00
68717.92000000,68958.00000000,68701.83000000,68890.66000000,2024-06-04T15:00:00
68890.66000000,69030.00000000,68841.87000000,68955.85000000,2024-06-04T16:00:00
68955.84000000,69155.50000000,68843.73000000,68946.56000000,2024-06-04T17:00:00
68946.56000000,69830.75000000,68946.55000000,69527.99000000,2024-06-04T18:00:00
69527.99000000,70089.99000000,69319.79000000,69651.49000000,2024-06-04T19:00:00
69651.49000000,70480.00000000,69463.83000000,70445.00000000,2024-06-04T20:00:00
70445.00000000,70999.00000000,70388.17000000,70800.00000000,2024-06-04T21:00:00
70800.00000000,70833.52000000,70360.40000000,70564.00000000,2024-06-04T22:00:00
70564.01000000,71063.45000000,70564.00000000,70693.67000000,2024-06-04T23:00:00
70693.67000000,70727.76000000,70092.50000000,70423.60000000,2024-06-05T00:00:00
70423.61000000,70550.00000000,70168.67000000,70402.69000000,2024-06-05T01:00:00
70402.69000000,70630.08000000,70340.41000000,70620.00000000,2024-06-05T02:00:00
70620.01000000,70736.00000000,70510.00000000,70561.30000000,2024-06-05T03:00:00
70561.31000000,70610.00000000,70414.90000000,70537.84000000,2024-06-05T04:00:00
70537.83000000,70900.00000000,70423.51000000,70776.00000000,2024-06-05T05:00:00
